lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
adminicular	adminicular	adj. | v. t.		sem_traducao
adminiculativo	adminiculative	adj.		
adminículo	adminicle	m. | pl. | lat.		
administração	administration	f. | lat.		
administração	management	f. | lat.		
administração	governance	f. | lat.		
administração	stewardship	f. | lat.		
administração	running	f. | lat.		
administração	direction	f. | lat.		
administração	trusteeship	f. | lat.		
administração	streamline	f. | lat.		
administração	march	f. | lat.		
administracionalizar	to manage	v. t. | neol. | fr.		
administradeira	administrator	f. | Bras.		
administrador	administrator	m. | lat.		
administrador	manager	m. | lat.		
administrador	director	m. | lat.		
administrador	trustee	m. | lat.		
administrador	steward	m. | lat.		
administrador	officer	m. | lat.		
administrador	dispenser	m. | lat.		
administrador	warden	m. | lat.		
administrador	ruler	m. | lat.		
administrador	overseer	m. | lat.		
administrador	controller	m. | lat.		
administrador	factor	m. | lat.		
administrador	comptroller	m. | lat.		
administrador	assignee	m. | lat.		
administrador	conservator	m. | lat.		
administrador	fallow deer	m. | lat.		
administrador	hind	m. | lat.		
administrador	manciple	m. | lat.		
administrante	administrator	adj. | lat.		
administrar	manage	v. t. | lat.		
administrar	administer	v. t. | lat.		
administrar	administrate	v. t. | lat.		
administrar	conduct	v. t. | lat.		
administrar	govern	v. t. | lat.		
administrar	dispense	v. t. | lat.		
administrar	direct	v. t. | lat.		
administrar	infuse	v. t. | lat.		
administrar	rule	v. t. | lat.		
administrar	police	v. t. | lat.		
administrar	boss	v. t. | lat.		
administrar	officer	v. t. | lat.		
administrar	husband	v. t. | lat.		
administrativamente	administratively	adv.		
administrativo	administrative	adj. | lat.		
administrativo	managerial	adj. | lat.		
administrativo	governing	adj. | lat.		
administrativo	civil	adj. | lat.		
administrativo	duty	adj. | lat.		
administrativo	white-collar	adj. | lat.		
admirábil	admirable	adj. | V.		
admirabilidade	admirability	f. | lat.		
admiração	admiration	f. | lat.		
admiração	wonder	f. | lat.		
admiração	awe	f. | lat.		
admiração	astonishment	f. | lat.		
admiração	admiring	f. | lat.		
admiração	amazement	f. | lat.		
admiração	surprise	f. | lat.		
admiração	marvel	f. | lat.		
admiração	worship	f. | lat.		
admiração	daze	f. | lat.		
admiradamente	admirably	adv.		
admirado	admired	adj.		
admirado	surprised	adj.		
admirado	astonished	adj.		
admirado	open-eyed	adj.		
admirado	pop-eyed	adj.		
admirador	admirer	m.		
admirador	fan	m.		
admirador	admiring	m.		
admirador	adorer	m.		
admirando	admiring	adj.		
admirante	admirer	adj. | lat.		
admirar	admire	v. t. | V. | p. | lat.		
admirar	look up to	v. t. | V. | p. | lat.		
admirar	flabbergast	v. t. | V. | p. | lat.		
admirativamente	admiringly	adv.		
admirativo	admiring	adj.		
admirável	admirable	adj. | lat.		
admirável	wonderful	adj. | lat.		
admirável	marvelous	adj. | lat.		
admirável	striking	adj. | lat.		
admirável	good	adj. | lat.		
admirável	surprising	adj. | lat.		
admirável	marvellous	adj. | lat.		
admiravelmente	admirably	adv.		
admiravelmente	capitally	adv.		
admiravelmente	like	adv.		
admissão	admission	f. | lat.		
admissão	intake	f. | lat.		
admissão	inlet	f. | lat.		
admissão	acceptance	f. | lat.		
admissão	admittance	f. | lat.		
admissão	reception	f. | lat.		
admissão	accession	f. | lat.		
admissão	access	f. | lat.		
admissão	concession	f. | lat.		
admissão	ingress	f. | lat.		
admissão	entree	f. | lat.		
admissão	recipiency	f. | lat.		
admissibilidade	admissibility	f. | lat.		
admissibilidade	admissibleness	f. | lat.		
admissível	admissible	adj. | lat.		
admissível	permissible	adj. | lat.		
admissível	allowable	adj. | lat.		
admissível	thinkable	adj. | lat.		
admitir	admit	v. t. | lat.		
admitir	accept	v. t. | lat.		
admitir	allow	v. t. | lat.		
admitir	acknowledge	v. t. | lat.		
admitir	assume	v. t. | lat.		
admitir	concede	v. t. | lat.		
admitir	grant	v. t. | lat.		
admitir	confess	v. t. | lat.		
admitir	receive	v. t. | lat.		
admitir	avow	v. t. | lat.		
admitir	take in	v. t. | lat.		
admitir	adopt	v. t. | lat.		
admitir	let in	v. t. | lat.		
admitir	lead off	v. t. | lat.		
admittir	admit	v. | t. | lat.		
admoestação	admonition	f.		
admoestação	warning	f.		
admoestação	admonishment	f.		
admoestação	reprimand	f.		
admoestação	remonstrance	f.		
admoestação	expostulation	f.		
admoestação	monitory	f.		
admoestação	sermon	f.		
admoestação	slur	f.		
admoestador	admonisher	m. e adj.		
admoestador	monitory	m. e adj.		
admoestador	monitor	m. e adj.		
admoestamento	admonition	m.		
admoestar	admonish	v. t. | lat.		
admoestar	warn	v. t. | lat.		
admoestar	caution	v. t. | lat.		
admoestar	remonstrate	v. t. | lat.		
admoestar	jaw	v. t. | lat.		
admoestar	reprehend	v. t. | lat.		
admoestar	sermonize	v. t. | lat.		
admoestar	talk to	v. t. | lat.		
admoestativo	admonitory	adj.		
admoestatório	admonitory	adj.		
admonenda	admonenda	f. | Cf.		sem_traducao
admonição	admonition	f. | lat.		
admonição	monition	f. | lat.		
admonição	admonishment	f. | lat.		
admonitor	admonitor	m. e adj. | lat.		sem_traducao
admonitório	admonitory	m. | Adj. | lat.		
admonitório	monitory	m. | Adj. | lat.		
adnasal	adnasal	adj. | Anat.	termo_tecnico_cientifico:Anat.	sem_traducao
adnascente	upward	adj. | Bot.	termo_tecnico_cientifico:Bot.	
adnata	adnata	f. | Anat. | fem.	termo_tecnico_cientifico:Anat.	sem_traducao
adnato	adnato	adj. | lat.		sem_traducao
adnex	adnex			sem_traducao
adnocarcinoma	adenocarcinoma	m. | Med. | gr.	termo_tecnico_cientifico:Med.	
adnominação	adnomination	f. | V.		
adnotação	adnotation	f. | Cp.		
adnotar	adnote	v. t. | der.		
adnumerar	to enumerate	v. t. | des. | V.		
adoba	adoba	f.		sem_traducao
adoba	adoba	f. | Ant.		sem_traducao
adobar	adobar	v. t. | Ant.		sem_traducao
adobar	adobar	v. t. | as.		sem_traducao
adobe	adobe	m. | ár.		sem_traducao
adobo	adobo	m.		sem_traducao
adoçamento	sweetening	m.		
adoçante	sweetener	adj. | m.		
adoçar	sweeten	v. t.		
adoçar	mellow	v. t.		
adoçar	honey	v. t.		
adocicado	sweet	adj.		
adocicado	sweetish	adj.		
adocicado	sugary	adj.		
adocicado	mellow	adj.		
adocicado	luscious	adj.		
adocicamento	sweetening	m.		
adocicar	sweeten	v. t.		
adoecer	to get sick	v. i. | v. t. | lat.		
adoecer	fall ill	v. i. | v. t. | lat.		
adoecer	sicken	v. i. | v. t. | lat.		
adoecer	languish	v. i. | v. t. | lat.		
adoecer	make ill	v. i. | v. t. | lat.		
adoecer	crock	v. i. | v. t. | lat.		
adoecimento	illness	m.		
adoentado	cranky	adj.		
adoentado	sick	adj.		
adoentado	sickly	adj.		
adoentado	unwell	adj.		
adoentado	unhealthy	adj.		
adoentado	poorly	adj.		
adoentado	off-color	adj.		
adoentado	off-colour	adj.		
adoentado	washed-out	adj.		
adoentar	to get sick	v. t.		
adoidado	balmy	adj.		
adoidado	crazy	adj.		
adoidar	crazy	v. t.		
adoito	adopted	m. | Ant. | lat.		
adolescência	adolescence	f. | lat.		
adolescência	youth	f. | lat.		
adolescente	adolescent	m. e adj. | lat.		
adolescente	teenager	m. e adj. | lat.		
adolescente	teenage	m. e adj. | lat.		
adolescente	teenaged	m. e adj. | lat.		
adolescente	juvenile	m. e adj. | lat.		
adolescente	stripling	m. e adj. | lat.		
adolescente	sapling	m. e adj. | lat.		
adolescêntulo	adolescent	m. | des. | lat.		
adolescer	to become an adolescent	v. | lat.		
adoli	adoli	m.		sem_traducao
adólia	Adolia	f.		sem_traducao
adólio	Adolio	m.		sem_traducao
adolorado	painful	adj. | des.		
adomar	adomar	v. i. | Prov. minh.		sem_traducao
adomingado	Sunday	adj.		
adomingar-se	to Sunday	v. p.		
adonai	Adonai	m. | lat.		sem_traducao
adonairar	adonairar	v. t. | Cf.		sem_traducao
adonde	where	adv. | Ant. | V. | pop.		
adónico	adonic	adj.		
adónida	adonis	f.		
adónide	Adonis	lat.		
adonidina	adonidine	f.		
adónio	Adónio	adj. | lat.		sem_traducao
adónis	Adonis	m. | gr. | n. p.		sem_traducao
adónis	Adonis	lat.		sem_traducao
adónis-da-itália	Italian Adonis	m.		
adonisar	adonisar	v. t. | Cf. | al.		sem_traducao
adopção	adoption	f. | lat.		
adoperar	adoper	v. t. | lat.		
adoptação	adoption	f.		
adoptante	adopter	adj. | lat.		
adoptar	adopt	v. t. | lat.		
adoptivamente	adoptively	adv.		
adoptivo	adoptive	adj. | lat.		
adorabundo	adorabundo	adj. | poet.		sem_traducao
adoração	worship	f. | lat.		
adoração	adoration	f. | lat.		
adôrádo	adorado	adj. | Ant. | Prov. trasm.		sem_traducao
adorador	worshipper	m. e adj.		
adorador	adoring	m. e adj.		
adorador	adorer	m. e adj.		
adoramento	worship	m.		
adorando	worshiping	adj. | lat.		
adorante	worshipper	adj. | lat.		
adorar	love	v. t. | lat.		
adorar	worship	v. t. | lat.		
adorar	adore	v. t. | lat.		
adorar	bless	v. t. | lat.		
adorativo	worshipful	adj.		
adorável	adorable	adj. | lat.		
adorável	lovely	adj. | lat.		
adorável	lovable	adj. | lat.		
adorável	kissable	adj. | lat.		
adoravelmente	adorably	adv.		
adorbital	orbital	m. | Adj. | Anat.	termo_tecnico_cientifico:Anat.	
adoriás	adoriás	m. | pl.		sem_traducao
adório	adorio	m.		sem_traducao
adormecedor	sleep aid	adj.		
adormecente	sleeping	adj. | Cf.		
adormecer	fall asleep	v. | t. | v. i. | p.		
adormecer	sleep	v. | t. | v. i. | p.		
adormecer	go numb	v. | t. | v. i. | p.		
adormecer	drop out	v. | t. | v. i. | p.		
adormecer	doss	v. | t. | v. i. | p.		
adormecido	asleep	adj.		
adormecido	sleeping	adj.		
adormecido	sleeper	adj.		
adormecido	numb	adj.		
adormecido	torpid	adj.		
adormecido	slumberous	adj.		
adormecimento	falling asleep	m.		
adormentado	asleep	adj.		
adormentador	sleeper	adj. | m.		
adormentar	fall asleep	v. t.		
adormido	asleep	adj. | Ant. | Cf.		
adormir	fall asleep	v. | Cf.		
adornadamente	ornately	adv.		
adornado	adorned	adj.		
adornado	figured	adj.		
adornamento	ornamentation	m.		
adornar	adorn	v. t. | lat.		
adornar	decorate	v. t. | lat.		
adornar	grace	v. t. | lat.		
adornar	ornament	v. t. | lat.		
adornar	bedeck	v. t. | lat.		
adornar	bejewel	v. t. | lat.		
adornar	attire	v. t. | lat.		
adornar	gild	v. t. | lat.		
adornar	prank	v. t. | lat.		
adornar	set	v. t. | lat.		
adornar	blazon	v. t. | lat.		
adornar	fig	v. t. | lat.		
adornar	lard	v. t. | lat.		
adornar	purl	v. t. | lat.		
adornar	illuminate	v. t. | lat.		
adornar	adorn	v. i. | V.		
adornar	decorate	v. i. | V.		
adornar	grace	v. i. | V.		
adornar	ornament	v. i. | V.		
adornar	bedeck	v. i. | V.		
adornar	bejewel	v. i. | V.		
adornar	attire	v. i. | V.		
adornar	gild	v. i. | V.		
adornar	prank	v. i. | V.		
adornar	set	v. i. | V.		
adornar	blazon	v. i. | V.		
adornar	fig	v. i. | V.		
adornar	lard	v. i. | V.		
adornar	purl	v. i. | V.		
adornar	illuminate	v. i. | V.		
adôrno	adornment	m.		
adortar	adopt	v. t. | Cf.		
adossado	attached	adj. | Heráld. | fr.		
adotar	adopt	v. t. | Prov. trasm.		
adotar	embrace	v. t. | Prov. trasm.		
adotar	foster	v. t. | Prov. trasm.		
adotar	father	v. t. | Prov. trasm.		
adoutar	adopt	v. t. | der. | Ant.		
adova	adova	f. | Ant. | as. | qual. | Cp.		sem_traducao
adoxa	adoxa	f.		sem_traducao
adoxo	adoxo	m. | as.		sem_traducao
adquirente	purchaser	adj.		
adquirição	acquisition	f. | V.		
adquiridôr	purchaser	m. e adj.		
adquirimento	acquisition	m.		
adquirir	acquire	v. t. | lat.		
adquirir	purchase	v. t. | lat.		
adquirir	get	v. t. | lat.		
adquirir	buy	v. t. | lat.		
adquirir	obtain	v. t. | lat.		
adquirir	procure	v. t. | lat.		
adquirir	earn	v. t. | lat.		
adquirir	pick	v. t. | lat.		
adquirir	gather	v. t. | lat.		
adquirir	pick up	v. t. | lat.		
adquirir	make	v. t. | lat.		
adquirir	filibeg	v. t. | lat.		
adquirível	obtainable	adj.		
adquirível	purchasable	adj.		
adquisição	acquisition	f. | V.		
adquisitivo	acquisitive	adj. | Cf.		
adrachne	adrachne	f. | gr.		sem_traducao
adracne	adrachne	f. | gr.		
adraganta	dragant	f.		
adraganthina	adraganthina	f.		sem_traducao
adragantho	adragantho	m. | alter.		sem_traducao
adragantina	dragantine	f.		
adraganto	draganto	m. | alter.		
adraguncho	adraguncho	m. | des.		sem_traducao
adrasto	adrasto	m.		sem_traducao
adrede	deliberately	adv. | provn. | lat.		
adregar	adregar	v. | Prov. trasm. | Cf. | rev.		sem_traducao
adrêgo	adrêgo	m. | Prov. alent.		sem_traducao
adrenal	adrenal	adj. | Anat. | lat.	termo_tecnico_cientifico:Anat.	sem_traducao
adrenalina	adrenaline	f. | Pharm.	termo_tecnico_cientifico:Pharm.	
adrenalina	adrenalin	f. | Pharm.	termo_tecnico_cientifico:Pharm.	
adriça	halyard	f. | it.		
adriçar	adriçar	v. t.		sem_traducao
adrípia	adrípia	f.		sem_traducao
adro	churchyard	m. | as. | lat.		
adro	forecourt	m. | as. | lat.		
adrogação	drugging	f.		
adrogar	drug	v. t. | lat.		
adscrever	subscribe	v. t. | Cf.		
adscripção	subscription	f. | lat.		
adscriptício	adscriptício	adj.		sem_traducao
adscripto	adscripto	adj. | lat.		sem_traducao
adsperso	spray	adj. | Bot. | lat.	termo_tecnico_cientifico:Bot.	
adstrição	attachment	f.		
adstricção	adstriction	f.		
adstrictivo	adstrictive	adj.		
adstricto	restricted	adj. | Med. | lat.	termo_tecnico_cientifico:Med.	
adstrictório	adstritório	adj.		
adstringência	astringency	f.		
adstringente	astringent	m. e adj.		
adstringente	styptic	m. e adj.		
adstringir	astringe	v. t. | lat.		
adstringitivo	astringent	adj. | V.		
adstringivo	adstringive	m. e adj. | V.		
adstritivo	adstrictive	adj.		
adstrito	bound	adj. | Med. | lat.	termo_tecnico_cientifico:Med.	
adstritório	adstrictive	adj.		
adu	adult	adv. | Ant.		
adua	adua	f. | Prov. alent. | prov. | Ant. | Prov. beir.		sem_traducao
adua	adua	f. | Ant.		sem_traducao
aduada	aduada	f. | Prov. beir.		sem_traducao
aduagem	tailings	f.		
aduana	customs	f. | ár.		
aduana	customhouse	f. | ár.		
aduanar	customs	v. t.		
aduaneiro	customs	adj.		
aduaneiro	customs officer	adj.		
aduar	aduar	m. | Ant. | ár.		sem_traducao
aduar	aduar	v. t.		sem_traducao
aduba	fertilize	f.		
adubabela	adubabela	f. | Prov. minh.		sem_traducao
adubação	fertilizing	f.		
adubador	fertilizer	m.		
adubagem	fertilization	f.		
adubamento	fertilization	m.		
adubar	fertilize	v. t. | Ant. | Cf. | port. | germ.		
adubar	compost	v. t. | Ant. | Cf. | port. | germ.		
adubar	manure	v. t. | Ant. | Cf. | port. | germ.		
adubar	season	v. t. | Ant. | Cf. | port. | germ.		
adubar	nourish	v. t. | Ant. | Cf. | port. | germ.		
adubar	lime	v. t. | Ant. | Cf. | port. | germ.		
adubar	dung	v. t. | Ant. | Cf. | port. | germ.		
adube	fertilize	m. | t.		
adubiar	fertilize	v. t. | Ant.		
adubio	fertilizer	m. | Ant. | alter.		
adubo	fertilizer	m.		
adubo	manure	m.		
adubo	compost	m.		
aduboiro	fertilizer	m. | Ant.		
adução	adduction	f.		
aducente	adducent	adj. | lat.		
aduchar	to taff	v. t. | Náut.		
aduchas	showers	f. | pl. | Náut.		
aducho	dugout	adj. | Ant. | m. | lat.		
adueiro	customs	m.		
aduela	stave	f. | loc. | pop. | cast.		
aduelagem	dugout	f.		
adufa	sluice gate	f. | ár.		
adufa	lattice	f. | ár.		
adufa	penstock	f. | ár.		
adufa	shutter	f. | ár.		
adufar	adufar	v. t.		sem_traducao
adufar	adufar	v. i.		sem_traducao
adufe	tambourine	m. | ár.		
adufeiro	tambourine player	m.		
adufo	adufo	m.		sem_traducao
adufo	adufo	m. | Bras.		sem_traducao
adugar	adugar	v. t. | Ant.		sem_traducao
adulação	adulation	f. | lat.		
adulação	flattery	f. | lat.		
adulação	coaxing	f. | lat.		
adulação	fawning	f. | lat.		
adulação	cringing	f. | lat.		
adulação	cajolery	f. | lat.		
adulação	blarney	f. | lat.		
adulação	cajolement	f. | lat.		
adulação	sawder	f. | lat.		
adulação	sugar	f. | lat.		
adulação	toadyism	f. | lat.		
aduladamente	flatteringly	adv.		
adulador	flatterer	m. | lat.		
adulador	fawning	m. | lat.		
adulador	smarmy	m. | lat.		
adulador	toady	m. | lat.		
adulador	adulatory	m. | lat.		
adulador	sugary	m. | lat.		
adulador	creeping	m. | lat.		
adulador	obsequious	m. | lat.		
adulador	flunkey	m. | lat.		
adulador	unctuous	m. | lat.		
adulador	lackey	m. | lat.		
adulador	lacquey	m. | lat.		
adulador	truckler	m. | lat.		
adulador	groveller	m. | lat.		
adulador	toad-eater	m. | lat.		
adulador	toad-eating	m. | lat.		
adulador	tuft-hunter	m. | lat.		
adulador	mealy-mouthed	m. | lat.		
adulador	smooth-spoken	m. | lat.		
adulador	smooth-tongued	m. | lat.		
adulante	flattering	adj.		
adulão	flatterer	m. e adj.		
adular	flatter	v. | t. | lat.		
adular	cajole	v. | t. | lat.		
adular	adulate	v. | t. | lat.		
adular	fawn	v. | t. | lat.		
adular	wheedle	v. | t. | lat.		
adular	butter	v. | t. | lat.		
adular	blandish	v. | t. | lat.		
adular	butter up	v. | t. | lat.		
adular	blarney	v. | t. | lat.		
adular	palaver	v. | t. | lat.		
adular	soft-soap	v. | t. | lat.		
adulária	flattery	f. | n. p.		
adulativo	flattering	adj. | p. us.		
adulatoriamente	flatteringly	adv.		
adulatório	flattering	adj. | lat.		
adulçorar	sweeten	v. t. | Cf.		
adulo	adult	adv. | Ant. | Prov. trasm.		
aduloso	aduloso	adj.		sem_traducao
adúltera	adulteress			
adulteração	adulteration	f. | lat.		
adulteração	falsification	f. | lat.		
adulteração	sophistication	f. | lat.		
adulteradamente	adulterated	adv.		
adulterado	adulterated	adj.		
adulterado	bogus	adj.		
adulterado	bastard	adj.		
adulterado	adulterate	adj.		
adulterador	adulterer	m. | lat.		
adulterador	adulterant	m. | lat.		
adulteramente	adulterously	adv.		
adulterar	adulterate	v. t. | v. i. | lat.		
adulterar	tamper	v. t. | v. i. | lat.		
adulterar	garble	v. t. | v. i. | lat.		
adulterar	doctor	v. t. | v. i. | lat.		
adulterar	falsify	v. t. | v. i. | lat.		
adulterar	debase	v. t. | v. i. | lat.		
adulterar	sophisticate	v. t. | v. i. | lat.		
adulterar	betray	v. t. | v. i. | lat.		
adulterar	dope	v. t. | v. i. | lat.		
adulterar	load	v. t. | v. i. | lat.		
adulterar	fill	v. t. | v. i. | lat.		
adulterar	drug	v. t. | v. i. | lat.		
adulterar	misinterpret	v. t. | v. i. | lat.		
adulterar	dash	v. t. | v. i. | lat.		
adulterino	adulterous	adj. | lat.		
adultério	adultery	m. | lat.		
adultério	misconduct	m. | lat.		
adultério	bull	m. | lat.		
adulterioso	adulterous	adj.		
adulterismo	adultery	m.		
adúltero	adulterer	m. | lat.		
adúltero	adulterous	m. | lat.		
adulteroso	adulterous	adj.		
adulto	adult	m. | Adj. | lat.		
adulto	grown up	m. | Adj. | lat.		
adulto	major	m. | Adj. | lat.		
adumar	adumar	v. i. | Prov. minh.		sem_traducao
adumbrar	adumbrate	v. t. | lat.		
adunação	adunation	f.		
adunar	adunar	v. t. | lat.		sem_traducao
aduncado	hooked	adj. | Cf.		
aduncidade	adulthood	f.		
aduncirostro	aduncirostro	adj. | lat.		sem_traducao
aduncirrostro	aduncirrostro	adj. | lat.		sem_traducao
adunco	hooked	adj. | lat.		
adunco	aquiline	adj. | lat.		
adúnia	Adunia	adv. | Ant.		sem_traducao
adur	adur	adv. | Ant. | mal. | m. | lat.		sem_traducao
adur	adur	m. | Ant.		sem_traducao
adurar	to last	v. t. | Ant. | Cf.		
adurência	adurência	f.		sem_traducao
adurente	during	m. | Adj. | lat.		
adurir	adurir	v. t. | des. | lat.		sem_traducao
aduro	adult	adv. | Ant.		
adussia	adussia	f. | Ant. | Adj. f.		sem_traducao
adustão	adoxidation	f. | lat.		
adustível	affordable	adj.		
adustivo	aggressive	adj.		
adusto	astoid	adj. | lat.		
adusto	adust	adj. | lat.		
adutivo	adductive	adj. | lat.		
adutor	adductor	m. | lat.		
adutor	adducent	m. | lat.		
adutra	adutra	f. | Ant.		sem_traducao
aduzer	add	v. t. | Ant.		
aduzir	add	v. t. | lat.		
aduzir	adduce	v. t. | lat.		
ádvena	advent	m. | lat.		
advendiço	adventitious	adj. | Ant.		
advenidiço	adventidiço	adj. | Cf.		
adveniente	adventitious	adj. | Cf.		
adventiciamente	adventitiously	adv.		
adventicio	adventitious	adj. | lat.		
advento	advent	m. | lat.		
advento	coming	m. | lat.		
adverbial	adverbial	adj. | lat.		sem_traducao
adverbialidade	adverbiality	f.		
adverbiar	adverbial	v. t.		
advérbio	adverb	m. | lat.		
adversamente	adversely	adv.		
adversão	aversion	f. | lat.		
adversar	opponent	v. t. | lat.		
adversário	adversary	m. | Adj. | lat.		
adversário	opponent	m. | Adj. | lat.		
adversário	enemy	m. | Adj. | lat.		
adversário	enemy	m. | Adj. | lat.		
adversário	foe	m. | Adj. | lat.		
adversário	rival	m. | Adj. | lat.		
adversário	rival	m. | Adj. | lat.		
adversário	side	m. | Adj. | lat.		
adversário	antagonist	m. | Adj. | lat.		
adversativamente	adversatively	adv.		
adversativo	adversative	adj. | Gram. | lat.		
adversia	adversity	f. | des.		
adversidade	adversity	f. | lat.		
adversidade	misfortune	f. | lat.		
adversidade	tribulation	f. | lat.		
adversidade	rough	f. | lat.		
adversidade	recusancy	f. | lat.		
adversidade	recusance	f. | lat.		
adversifólio	adversarifolio	adj. | lat.		
adverso	adverse	adj. | lat.		
adverso	averse	adj. | lat.		
adverso	unfavorable	adj. | lat.		
adverso	hostile	adj. | lat.		
adverso	contrary	adj. | lat.		
adverso	opposed	adj. | lat.		
adverso	antipathetic	adj. | lat.		
adverso	antipathetical	adj. | lat.		
adverso	loath	adj. | lat.		
adverso	loth	adj. | lat.		
advertência	warning	f.		
advertência	admonition	f.		
advertência	reminder	f.		
advertência	admonishment	f.		
advertência	reprimand	f.		
advertência	advertence	f.		
advertência	monition	f.		
advertência	remonstrance	f.		
advertência	observation	f.		
advertência	monitory	f.		
advertidamente	warned	adv.		
advertimento	warning	m.		
advertir	warn	v. t. | lat.		
advertir	caution	v. t. | lat.		
advertir	admonish	v. t. | lat.		
advertir	advert	v. t. | lat.		
advertir	forewarn	v. t. | lat.		
advertir	advertise	v. t. | lat.		
advertir	reprimand	v. t. | lat.		
advertir	remonstrate	v. t. | lat.		
advertir	expostulate	v. t. | lat.		
advertir	poster	v. t. | lat.		
advertir	forbid	v. t. | lat.		
advertir	publicize	v. t. | lat.		
advindo	coming	adj.		
advir	to come	v. i. | lat.		
advir	come	v. i. | lat.		
advir	accrue	v. i. | lat.		
advocação	advocacy	f. | des. | lat.		
advocacia	advocacy	f. | lat.		
advocacia	law	f. | lat.		
advocacia	judge-made law	f. | lat.		
advocar	advocate	v. t. | des. | Cf.		
advocatura	legal practice	f. | V.		
advogacia	advocacy	f. | V.		
advogado	attorney	m. | lat.		
advogado	lawyer	m. | lat.		
advogado	advocate	m. | lat.		
advogado	counsel	m. | lat.		
advogado	barrister	m. | lat.		
advogado	counselor	m. | lat.		
advogado	pleader	m. | lat.		
advogado	patron	m. | lat.		
advogado	bencher	m. | lat.		
advogado	Templar	m. | lat.		
advogado	counsellor	m. | lat.		
advogar	advocate	v. t. | v. i. | des. | lat.		
advogar	plead	v. t. | v. i. | des. | lat.		
advogar	practice law	v. t. | v. i. | des. | lat.		
advogaria	legal practice	f. | Ant.		
ady	ady	f.		sem_traducao
adynamia	adynamia	f. | gr.		sem_traducao
adynâmico	adynamic	adj.		
adynamizar	adynamizar	v. t.		sem_traducao
adýnamo	adýnamo	adj.		sem_traducao
ádyto	adyto	m. | gr.		sem_traducao
aédo	aedo	m. | gr.		sem_traducao
aens	aens	suf. | pl.		sem_traducao
aer	air	pref. | ár. | gr.		
aeração	aeration	f. | ár. | gr.		
aereamente	aerially	adv.		
aeremia	aeremia	f. | Med. | ár. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
aeremotoxia	aeremotoxia	f. | ár. | gr.		sem_traducao
aéreo	air	adj. | ár. | lat.		
aéreo	aerial	adj. | ár. | lat.		
aéreo	overhead	adj. | ár. | lat.		
aéreo	airy	adj. | ár. | lat.		
aéreo	overground	adj. | ár. | lat.		
aéreo	etherial	adj. | ár. | lat.		
aéreo	vague	adj. | ár. | lat.		
aéreo	irresponsible	adj. | ár. | lat.		
aéreo	air	adj. | lat.		
aéreo	aerial	adj. | lat.		
aéreo	overhead	adj. | lat.		
aéreo	airy	adj. | lat.		
aéreo	overground	adj. | lat.		
aéreo	etherial	adj. | lat.		
aéreo	vague	adj. | lat.		
aéreo	irresponsible	adj. | lat.		
aerethmia	aerethmia	f. | ár.		sem_traducao
aeretmia	aeretmia	f. | ár.		sem_traducao
aerícola	aericultural	adj. | ár. | lat.		
aérida	aerida	f. | as. | ár. | lat.		sem_traducao
aérido	aerid	m. | Adj.		
aerifero	aerifero	adj. | ár. | lat.		sem_traducao
aerificação	aeration	f.		
aerificar	aerify	v. t. | lat.		
aeriforme	aeriforme	adj. | ár. | lat.		sem_traducao
aeriforme	aeriform	adj. | ár. | lat.		
aerínea	aerínea	f. | gr.		sem_traducao
aerívoro	aerivore	adj. | ár. | lat.		
aerização	aeration	f.		
aerizar	aerate	v. t.		
aerobata	aerobata	m. | ár. | gr.		sem_traducao
aeróbio	aerobic	adj. | ár. | gr.		
aeroclavicórdio	aeroclavicórdio	m. | ár.		sem_traducao
aeroclube	flying club	m. | neol.		
aerocolia	aerocolia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
aerodinâmica	aerodynamics	f. | ár.		
aeródromo	aerodrome	m. | Bras. | gr.		
aeródromo	airfield	m. | Bras. | gr.		
aeródromo	airdrome	m. | Bras. | gr.		
aeródromo	landing ground	m. | Bras. | gr.		
aerodynâmica	aerodynamics	f. | ár.		
aerófago	aerophagous	m. | gr.		
aerófita	aerophyte	f. | gr.		
aerófito	aerophyte	adj. | ár. | gr.		
aerofobia	aerophobia	f. | ár.		
aerófobo	aerophobic	m. | ár. | gr.		
aerofónio	aerophone	adj. | ár. | m. | pl. | gr.		
aeróforo	aerophore	adj. | gr.		
aerófugo	aerofuge	adj. | ár. | lat.		
aerogastrectasia	aerogastrectasia	f. | gr.		sem_traducao
aerogênio	aerogen	m. | gr.		
aerognosia	aerognosy	f. | ár. | gr.		
aerognosta	aerognost	m.		
aerognóstico	aerognostics	adj.		
aerografia	airbrushing	f. | ár.		
aerógrafo	airbrush	m. | ár. | gr.		
aerograma	aerogram	m. | ár.		
aerogramma	aerogram	m. | ár.		
aerographia	airbrushing	f. | ár.		
aerógrapho	airbrush	m. | ár. | gr.		
aerohidro	aerohydro	adj. | ár. | gr.		
aerohidropatia	aerohydropathy	f. | ár. | gr.		
aerohydro	aerohydro	adj. | ár. | gr.		sem_traducao
aerohydropathia	aerohydropathy	f. | ár. | gr.		
aeroide	aeroid	adj. | ár. | gr.		
aeroides	aeroids	adj. | ár. | gr.		
aérola	aerola	f. | ár. | lat.		sem_traducao
aerólita	aerolite	f. | V.		
aerólite	aerolite	f. | V.		sem_traducao
